Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
9,450,217,140,0,0,0,0,0,0,0,0,0,217
10,422,124,112,0,0,0,0,0,0,0,0,0,124
11,425,124,56,31,0,0,0,0,0,0,0,90,124
12,604,124,112,186,0,0,0,0,0,0,0,120,124
13,635,155,112,62,0,0,0,0,0,0,0,120,155
14,415,0,140,62,0,0,0,0,0,0,0,120,0
15,153,0,0,62,0,0,0,0,0,0,31,60,0
16,610,0,0,124,90,0,0,0,0,0,186,210,0
17,244,0,0,62,120,0,0,0,0,0,62,0,0
18,277,0,0,155,60,0,0,0,0,0,62,0,0
19,307,0,0,0,60,93,0,0,0,30,124,0,0
20,426,0,0,0,60,124,0,0,0,180,62,0,0
21,306,0,0,0,60,62,0,0,0,60,124,0,0
22,425,0,0,0,60,62,150,0,0,60,93,0,0
23,335,0,0,0,60,62,60,0,93,60,0,0,0
24,611,0,0,0,150,62,60,155,124,60,0,0,0
25,366,0,0,0,0,62,60,62,62,120,0,0,0
26,396,0,0,0,0,62,60,62,62,150,0,0,0
27,339,0,0,0,0,155,60,62,62,0,0,0,0
28,184,0,0,0,0,0,60,62,62,0,0,0,0
29,244,0,0,0,0,0,120,62,62,0,0,0,0
30,276,0,0,0,0,0,90,62,124,0,0,0,0
31,217,0,0,0,0,0,0,124,93,0,0,0,0
32,93,0,0,0,0,0,0,93,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
