Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0
13,155,155,0,0,0,0,0,0,0,0,0,0,155
14,301,62,84,0,0,0,0,0,0,0,0,0,62
15,180,62,56,0,0,0,0,0,0,0,0,0,62
16,330,62,56,0,0,0,0,0,0,0,0,150,62
17,271,0,56,93,0,0,0,0,0,0,0,60,0
18,302,62,56,62,0,0,0,0,0,0,0,60,62
19,270,62,56,62,90,0,0,0,0,0,0,0,62
20,362,62,56,62,60,0,0,0,0,0,0,60,62
21,461,62,0,62,60,0,0,0,0,0,155,60,62
22,579,155,56,62,60,0,0,0,0,0,62,60,155
23,424,0,56,0,60,93,0,0,0,0,62,60,0
24,386,0,140,62,0,62,0,0,0,0,62,60,0
25,244,0,0,62,60,62,0,0,0,0,0,60,0
26,636,0,0,62,60,62,150,0,0,150,62,90,0
27,521,0,0,124,60,62,60,93,0,60,62,0,0
28,552,0,0,31,60,62,60,62,155,60,62,0,0
29,490,0,0,0,60,62,60,124,62,60,62,0,0
30,274,0,0,0,90,0,0,0,62,60,62,0,0
31,339,0,0,0,0,62,60,62,62,0,93,0,0
32,306,0,0,0,0,62,60,62,62,60,0,0,0
33,399,0,0,0,0,155,60,62,62,60,0,0,0
34,242,0,0,0,0,0,60,62,0,120,0,0,0
35,426,0,0,0,0,0,150,62,124,90,0,0,0
36,217,0,0,0,0,0,0,155,62,0,0,0,0
37,93,0,0,0,0,0,0,0,93,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
