Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,93,93,0,0,0,0,0,0,0,0,0,0,93
8,124,124,0,0,0,0,0,0,0,0,0,0,124
9,62,62,0,0,0,0,0,0,0,0,0,0,62
10,357,62,140,0,0,0,0,0,0,0,0,0,62
11,242,62,56,0,0,0,0,0,0,0,0,0,62
12,236,62,112,0,0,0,0,0,0,0,0,0,62
13,332,124,56,0,0,0,0,0,0,0,0,90,124
14,337,155,0,0,0,0,0,0,0,0,0,120,155
15,296,0,112,0,0,0,0,0,0,0,0,60,0
16,302,0,56,31,0,0,0,0,0,0,0,60,0
17,324,0,140,124,0,0,0,0,0,0,0,60,0
18,212,0,0,62,90,0,0,0,0,0,0,60,0
19,273,0,0,62,120,0,0,0,0,0,31,60,0
20,246,0,0,62,0,0,0,0,0,0,124,60,0
21,365,0,0,62,60,31,0,0,0,0,62,150,0
22,308,0,0,62,60,124,0,0,0,0,62,0,0
23,336,0,0,62,60,62,0,0,0,90,62,0,0
24,396,0,0,62,60,62,90,0,0,60,62,0,0
25,552,0,0,155,0,62,120,0,93,60,62,0,0
26,337,0,0,0,60,0,0,31,124,60,62,0,0
27,490,0,0,0,60,62,60,124,62,60,62,0,0
28,518,0,0,0,150,62,60,62,62,60,62,0,0
29,337,0,0,0,0,62,60,62,0,60,93,0,0
30,124,0,0,0,0,0,0,62,62,0,0,0,0
31,368,0,0,0,0,124,60,62,62,60,0,0,0
32,335,0,0,0,0,93,60,0,62,120,0,0,0
33,274,0,0,0,0,0,60,62,62,90,0,0,0
34,367,0,0,0,0,0,150,62,155,0,0,0,0
35,62,0,0,0,0,0,0,62,0,0,0,0,0
36,155,0,0,0,0,0,0,155,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
