Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0
15,93,93,0,0,0,0,0,0,0,0,0,0,93
16,93,62,0,0,0,0,0,0,0,0,0,0,62
17,186,62,0,0,0,0,0,0,0,0,0,0,62
18,264,62,140,0,0,0,0,0,0,0,0,0,62
19,363,62,56,93,0,0,0,0,0,0,0,90,62
20,362,62,56,62,0,0,0,0,0,0,0,120,62
21,184,0,0,62,0,0,0,0,0,0,0,60,0
22,330,62,56,62,150,0,0,0,0,0,0,0,62
23,393,62,56,62,60,0,0,0,0,0,31,60,62
24,424,62,56,0,60,0,0,0,0,0,124,60,62
25,364,62,56,62,0,0,0,0,0,0,62,60,62
26,525,93,0,62,60,93,0,0,0,0,62,0,93
27,418,0,112,62,60,62,0,0,0,0,62,60,0
28,328,0,84,62,60,62,0,0,0,0,0,60,0
29,576,0,0,62,0,62,150,0,0,90,62,150,0
30,457,0,0,93,60,62,60,0,0,120,62,0,0
31,552,0,0,0,60,62,60,155,93,60,62,0,0
32,396,0,0,0,150,62,60,62,62,0,0,0,0
33,430,0,0,0,0,62,60,62,62,60,124,0,0
34,339,0,0,0,0,62,0,62,62,60,93,0,0
35,244,0,0,0,0,62,60,0,62,60,0,0,0
36,337,0,0,0,0,93,60,62,62,60,0,0,0
37,122,0,0,0,0,0,60,62,0,0,0,0,0
38,394,0,0,0,0,0,150,62,62,120,0,0,0
39,214,0,0,0,0,0,0,62,62,90,0,0,0
40,186,0,0,0,0,0,0,124,62,0,0,0,0
41,186,0,0,0,0,0,0,31,155,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
