Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,171,31,140,0,0,0,0,0,0,0,0,0,31
9,490,186,56,155,0,0,0,0,0,0,0,0,186
10,604,124,112,124,30,0,0,0,0,0,0,90,124
11,544,62,56,62,120,0,0,0,0,0,0,120,62
12,693,124,112,62,120,0,0,0,0,0,93,120,124
13,703,124,56,62,60,93,0,0,0,0,124,60,124
14,1002,93,140,124,60,124,0,0,0,0,124,120,93
15,609,0,0,155,60,62,0,0,0,150,62,120,0
16,484,0,0,0,60,62,150,0,0,60,62,90,0
17,674,0,0,0,120,62,60,93,155,60,124,0,0
18,675,0,0,0,90,62,60,124,124,60,155,0,0
19,366,0,0,0,0,62,60,62,62,120,0,0,0
20,368,0,0,0,0,124,60,62,62,60,0,0,0
21,337,0,0,0,0,93,60,62,62,60,0,0,0
22,334,0,0,0,0,0,60,62,62,150,0,0,0
23,368,0,0,0,0,0,120,124,124,0,0,0,0
24,307,0,0,0,0,0,90,124,93,0,0,0,0
25,31,0,0,0,0,0,0,31,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
