Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0
20,31,31,0,0,0,0,0,0,0,0,0,0,31
21,186,186,0,0,0,0,0,0,0,0,0,0,186
22,419,124,140,0,0,0,0,0,0,0,0,0,124
23,329,62,112,31,0,0,0,0,0,0,0,0,62
24,484,124,112,186,0,0,0,0,0,0,0,0,124
25,611,217,56,124,0,0,0,0,0,0,0,90,217
26,356,0,112,62,0,0,0,0,0,0,0,120,0
27,811,0,140,124,210,0,0,0,0,0,0,120,0
28,430,0,0,217,60,0,0,0,0,0,93,60,0
29,519,0,0,0,120,155,0,0,0,0,124,120,0
30,788,0,0,0,120,124,90,0,0,210,124,120,0
31,1132,0,0,0,120,124,180,217,217,60,124,90,0
32,764,0,0,0,90,124,120,62,124,120,124,0,0
33,645,0,0,0,0,124,60,124,62,120,155,0,0
34,641,0,0,0,0,93,180,124,124,120,0,0,0
35,428,0,0,0,0,0,90,124,124,90,0,0,0
36,186,0,0,0,0,0,0,93,93,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
