Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0
17,31,31,0,0,0,0,0,0,0,0,0,0,31
18,124,124,0,0,0,0,0,0,0,0,0,0,124
19,62,62,0,0,0,0,0,0,0,0,0,0,62
20,357,62,140,0,0,0,0,0,0,0,0,0,62
21,180,62,56,0,0,0,0,0,0,0,0,0,62
22,485,62,56,155,0,0,0,0,0,0,0,150,62
23,332,62,56,62,30,0,0,0,0,0,0,60,62
24,422,62,56,62,120,0,0,0,0,0,0,60,62
25,517,62,56,62,60,0,0,0,0,0,155,60,62
26,672,155,56,62,60,155,0,0,0,0,62,60,155
27,486,0,56,62,60,62,0,0,0,0,62,60,0
28,539,0,140,62,60,62,0,0,0,0,62,60,0
29,457,0,0,62,60,62,90,93,0,30,0,60,0
30,823,0,0,155,60,62,120,124,0,120,62,120,0
31,489,0,0,0,60,62,60,62,93,60,62,30,0
32,458,0,0,0,150,62,0,62,62,60,62,0,0
33,306,0,0,0,0,62,60,0,62,60,62,0,0
34,523,0,0,0,0,124,60,62,62,60,155,0,0
35,275,0,0,0,0,31,60,62,62,60,0,0,0
36,244,0,0,0,0,0,60,62,62,60,0,0,0
37,182,0,0,0,0,0,60,62,0,60,0,0,0
38,517,0,0,0,0,0,150,155,62,150,0,0,0
39,62,0,0,0,0,0,0,0,62,0,0,0,0
40,62,0,0,0,0,0,0,0,62,0,0,0,0
41,155,0,0,0,0,0,0,0,155,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
