Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0
12,357,217,140,0,0,0,0,0,0,0,0,0,217
13,236,124,112,0,0,0,0,0,0,0,0,0,124
14,149,62,56,31,0,0,0,0,0,0,0,0,62
15,639,124,112,186,0,0,0,0,0,0,0,0,124
16,459,217,56,62,0,0,0,0,0,0,0,0,217
17,472,0,196,124,0,0,0,0,0,0,0,90,0
18,396,0,0,62,90,0,0,0,0,0,0,120,0
19,519,0,0,62,120,0,0,0,0,0,0,120,0
20,306,0,0,186,60,0,0,0,0,0,0,60,0
21,366,0,0,31,60,0,0,0,0,0,155,120,0
22,459,0,0,0,60,155,0,0,0,0,124,120,0
23,274,0,0,0,60,62,0,0,0,0,62,90,0
24,214,0,0,0,60,62,0,0,0,30,62,0,0
25,638,0,0,0,180,124,90,0,0,120,124,0,0
26,456,0,0,0,30,62,120,0,0,120,124,0,0
27,523,0,0,0,0,62,60,155,93,60,93,0,0
28,368,0,0,0,0,62,60,62,124,60,0,0,0
29,399,0,0,0,0,155,60,62,62,60,0,0,0
30,304,0,0,0,0,0,60,62,62,120,0,0,0
31,334,0,0,0,0,0,60,62,62,150,0,0,0
32,244,0,0,0,0,0,120,62,62,0,0,0,0
33,338,0,0,0,0,0,90,124,124,0,0,0,0
34,310,0,0,0,0,0,0,155,155,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
