Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,31,31,0,0,0,0,0,0,0,0,0,0,31
8,186,186,0,0,0,0,0,0,0,0,0,0,186
9,357,124,140,0,0,0,0,0,0,0,0,0,124
10,391,62,112,93,0,0,0,0,0,0,0,0,62
11,638,124,56,124,0,0,0,0,0,0,0,210,124
12,482,124,112,62,0,0,0,0,0,0,0,60,124
13,393,93,56,62,0,0,0,0,0,0,0,120,93
14,716,0,196,62,150,0,0,0,0,0,31,60,0
15,459,0,0,124,60,31,0,0,0,0,124,120,0
16,520,0,0,62,60,124,0,0,0,0,124,150,0
17,339,0,0,155,60,62,0,0,0,0,62,0,0
18,274,0,0,0,60,62,0,0,0,90,62,0,0
19,394,0,0,0,60,62,90,0,0,120,62,0,0
20,426,0,0,0,60,62,120,0,0,60,124,0,0
21,583,0,0,0,60,62,60,93,93,60,155,0,0
22,520,0,0,0,150,62,0,124,124,60,0,0,0
23,306,0,0,0,0,62,60,62,62,60,0,0,0
24,244,0,0,0,0,124,60,0,0,60,0,0,0
25,275,0,0,0,0,31,60,62,62,60,0,0,0
26,334,0,0,0,0,0,60,62,62,150,0,0,0
27,184,0,0,0,0,0,60,62,62,0,0,0,0
28,274,0,0,0,0,0,150,62,62,0,0,0,0
29,124,0,0,0,0,0,0,62,62,0,0,0,0
30,217,0,0,0,0,0,0,62,155,0,0,0,0
31,93,0,0,0,0,0,0,93,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
