Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,248,93,0,0,0,0,0,0,0,0,0,0,93
11,152,62,28,0,0,0,0,0,0,0,0,0,62
12,326,62,112,0,0,0,0,0,0,0,0,90,62
13,178,62,56,0,0,0,0,0,0,0,0,60,62
14,271,62,56,31,0,0,0,0,0,0,0,60,62
15,308,62,0,124,0,0,0,0,0,0,0,60,62
16,180,0,56,62,0,0,0,0,0,0,0,0,0
17,271,62,56,0,0,0,0,0,0,0,93,60,62
18,398,62,0,62,90,0,0,0,0,0,62,60,62
19,364,62,56,62,60,0,0,0,0,0,62,0,62
20,517,124,56,0,60,0,0,0,0,0,62,60,124
21,424,31,56,62,60,155,0,0,0,0,0,60,31
22,332,0,56,62,0,62,0,0,0,90,62,0,0
23,476,0,84,0,60,0,150,0,0,60,62,60,0
24,487,0,0,62,0,62,60,0,93,60,0,150,0
25,461,0,0,62,60,62,0,93,62,60,62,0,0
26,306,0,0,62,60,0,60,62,62,0,0,0,0
27,461,0,0,93,0,62,60,62,62,60,62,0,0
28,306,0,0,0,60,0,0,62,62,60,62,0,0
29,306,0,0,0,60,62,60,62,0,0,62,0,0
30,397,0,0,0,60,62,60,0,62,60,93,0,0
31,336,0,0,0,90,62,0,62,62,60,0,0,0
32,184,0,0,0,0,62,60,62,0,0,0,0,0
33,275,0,0,0,0,93,60,0,62,60,0,0,0
34,394,0,0,0,0,0,120,62,62,150,0,0,0
35,154,0,0,0,0,0,30,62,62,0,0,0,0
36,155,0,0,0,0,0,0,62,93,0,0,0,0
37,93,0,0,0,0,0,0,93,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
