Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
11,245,0,0,0,0,0,90,155,0,0,0,0,0
12,275,0,0,0,0,0,120,124,31,0,0,0,0
13,246,0,0,0,0,0,60,62,124,0,0,0,0
14,184,0,0,0,0,0,60,62,62,0,0,0,0
15,277,0,0,0,0,93,60,62,62,0,0,0,0
16,580,0,0,0,0,124,120,124,62,150,0,0,0
17,399,0,0,0,0,62,60,155,62,60,0,0,0
18,334,0,0,0,0,62,150,0,62,60,0,0,0
19,336,0,0,0,90,62,0,0,124,60,0,0,0
20,399,0,0,0,60,62,0,0,124,60,93,0,0
21,215,0,0,0,60,62,0,0,31,0,62,0,0
22,244,0,0,0,60,62,0,0,0,60,62,0,0
23,427,0,0,0,60,155,0,0,0,60,62,90,0
24,242,0,0,0,60,0,0,0,0,60,62,60,0
25,363,0,0,93,60,0,0,0,0,150,0,60,0
26,215,0,0,62,0,0,0,0,0,0,62,60,0
27,508,0,140,62,60,0,0,0,0,0,62,60,0
28,240,0,56,62,60,0,0,0,0,0,0,0,0
29,551,155,0,62,150,0,0,0,0,0,62,60,155
30,240,62,56,0,0,0,0,0,0,0,62,60,62
31,335,0,56,62,0,0,0,0,0,0,155,0,0
32,302,62,56,62,0,0,0,0,0,0,0,60,62
33,184,62,0,62,0,0,0,0,0,0,0,60,62
34,268,0,56,0,0,0,0,0,0,0,0,150,0
35,304,62,56,124,0,0,0,0,0,0,0,0,62
36,155,62,0,93,0,0,0,0,0,0,0,0,62
37,118,0,56,0,0,0,0,0,0,0,0,0,0
38,357,62,140,0,0,0,0,0,0,0,0,0,62
39,62,62,0,0,0,0,0,0,0,0,0,0,62
40,124,124,0,0,0,0,0,0,0,0,0,0,124
41,31,31,0,0,0,0,0,0,0,0,0,0,31
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
