Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,248,155,0,0,0,0,0,0,0,0,0,0,155
9,186,62,0,0,0,0,0,0,0,0,0,0,62
10,270,62,84,0,0,0,0,0,0,0,0,0,62
11,298,124,112,0,0,0,0,0,0,0,0,0,124
12,180,62,56,0,0,0,0,0,0,0,0,0,62
13,423,62,56,31,0,0,0,0,0,0,0,150,62
14,517,62,56,124,0,0,0,0,0,0,0,120,62
15,333,155,56,62,0,0,0,0,0,0,0,60,155
16,178,0,56,62,0,0,0,0,0,0,0,60,0
17,268,0,56,62,90,0,0,0,0,0,0,60,0
18,411,0,140,0,120,0,0,0,0,0,31,120,0
19,396,0,0,62,60,0,0,0,0,0,124,150,0
20,186,0,0,62,0,0,0,0,0,0,124,0,0
21,184,0,0,62,60,0,0,0,0,0,62,0,0
22,427,0,0,62,60,93,0,0,0,150,62,0,0
23,368,0,0,62,60,124,0,0,0,60,62,0,0
24,337,0,0,93,60,62,0,0,0,60,62,0,0
25,365,0,0,0,60,0,90,93,0,60,62,0,0
26,614,0,0,0,60,62,120,124,93,0,155,0,0
27,336,0,0,0,90,62,0,62,62,60,0,0,0
28,244,0,0,0,0,62,60,0,62,60,0,0,0
29,306,0,0,0,0,62,60,62,62,60,0,0,0
30,306,0,0,0,0,62,60,62,62,60,0,0,0
31,396,0,0,0,0,62,60,62,62,150,0,0,0
32,155,0,0,0,0,93,0,0,62,0,0,0,0
33,122,0,0,0,0,0,60,62,0,0,0,0,0
34,184,0,0,0,0,0,60,62,62,0,0,0,0
35,367,0,0,0,0,0,150,155,62,0,0,0,0
36,155,0,0,0,0,0,0,0,155,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
