Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,124,124,0,0,0,0,0,0,0,0,0,0,124
1,124,124,0,0,0,0,0,0,0,0,0,0,124
2,62,62,0,0,0,0,0,0,0,0,0,0,62
3,90,62,28,0,0,0,0,0,0,0,0,0,62
4,329,62,112,0,0,0,0,0,0,0,0,0,62
5,180,62,56,0,0,0,0,0,0,0,0,0,62
6,242,62,56,0,0,0,0,0,0,0,0,0,62
7,273,155,56,0,0,0,0,0,0,0,0,0,155
8,118,0,56,0,0,0,0,0,0,0,0,0,0
9,118,0,56,0,0,0,0,0,0,0,0,0,0
10,180,0,56,0,0,0,0,0,0,0,0,0,0
11,205,0,112,0,0,0,0,0,0,0,0,0,0
12,114,0,84,0,0,0,0,0,0,0,0,30,0
13,213,0,0,93,0,0,0,0,0,0,0,120,0
14,244,0,0,124,0,0,0,0,0,0,0,120,0
15,122,0,0,62,0,0,0,0,0,0,0,60,0
16,122,0,0,62,0,0,0,0,0,0,0,60,0
17,152,0,0,62,30,0,0,0,0,0,0,60,0
18,180,0,0,0,120,0,0,0,0,0,0,60,0
19,213,0,0,62,60,0,0,0,0,0,31,60,0
20,396,0,0,62,60,0,0,0,0,0,124,150,0
21,246,0,0,124,60,0,0,0,0,0,62,0,0
22,215,0,0,93,60,0,0,0,0,0,62,0,0
23,367,0,0,0,0,155,0,0,0,150,62,0,0
24,244,0,0,0,60,62,0,0,0,60,62,0,0
25,549,0,0,0,60,62,150,0,155,60,62,0,0
26,397,0,0,0,60,62,60,31,62,60,62,0,0
27,458,0,0,0,150,0,60,124,62,0,62,0,0
28,461,0,0,0,0,62,60,62,62,60,155,0,0
29,246,0,0,0,0,62,0,62,62,60,0,0,0
30,244,0,0,0,0,62,60,62,0,60,0,0,0
31,306,0,0,0,0,62,60,62,62,60,0,0,0
32,396,0,0,0,0,62,60,62,62,150,0,0,0
33,277,0,0,0,0,93,60,0,124,0,0,0,0
34,305,0,0,0,0,0,150,62,93,0,0,0,0
35,124,0,0,0,0,0,0,124,0,0,0,0,0
36,93,0,0,0,0,0,0,93,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
