Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,140,0,140,0,0,0,0,0,0,0,0,0,0
3,267,155,112,0,0,0,0,0,0,0,0,0,155
4,118,62,56,0,0,0,0,0,0,0,0,0,62
5,180,124,56,0,0,0,0,0,0,0,0,0,124
6,335,62,56,0,0,0,0,0,0,0,0,0,62
7,180,62,56,0,0,0,0,0,0,0,0,0,62
8,298,62,112,0,0,0,0,0,0,0,0,0,62
9,270,124,84,0,0,0,0,0,0,0,0,0,124
10,186,93,0,31,0,0,0,0,0,0,0,0,93
11,371,0,0,124,0,0,0,0,0,0,0,30,0
12,304,0,0,124,0,0,0,0,0,0,0,180,0
13,122,0,0,62,0,0,0,0,0,0,0,60,0
14,182,0,0,62,0,0,0,0,0,0,0,120,0
15,122,0,0,62,0,0,0,0,0,0,0,60,0
16,182,0,0,62,0,0,0,0,0,0,0,120,0
17,517,0,0,186,150,0,0,0,0,0,31,150,0
18,277,0,0,31,60,0,0,0,0,0,186,0,0
19,122,0,0,0,60,0,0,0,0,0,62,0,0
20,122,0,0,0,60,0,0,0,0,0,62,0,0
21,277,0,0,0,60,155,0,0,0,0,62,0,0
22,184,0,0,0,60,62,0,0,0,0,62,0,0
23,396,0,0,0,60,62,0,0,0,150,124,0,0
24,702,0,0,0,120,62,150,0,155,60,155,0,0
25,489,0,0,0,90,62,60,155,62,60,0,0,0
26,306,0,0,0,0,62,60,62,62,60,0,0,0
27,306,0,0,0,0,62,60,62,62,60,0,0,0
28,306,0,0,0,0,62,60,62,62,60,0,0,0
29,368,0,0,0,0,124,60,62,62,60,0,0,0
30,335,0,0,0,0,31,60,62,62,120,0,0,0
31,336,0,0,0,0,0,60,62,124,90,0,0,0
32,367,0,0,0,0,0,150,124,93,0,0,0,0
33,93,0,0,0,0,0,0,93,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
