Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,267,155,112,0,0,0,0,0,0,0,0,0,155
1,180,124,56,0,0,0,0,0,0,0,0,0,124
2,118,62,56,0,0,0,0,0,0,0,0,0,62
3,180,124,56,0,0,0,0,0,0,0,0,0,124
4,413,62,196,0,0,0,0,0,0,0,0,0,62
5,341,217,0,0,0,0,0,0,0,0,0,0,217
6,124,0,0,0,0,0,0,0,0,0,0,0,0
7,279,0,0,155,0,0,0,0,0,0,0,0,0
8,429,0,0,62,0,0,0,0,0,0,0,150,0
9,182,0,0,62,0,0,0,0,0,0,0,120,0
10,182,0,0,62,0,0,0,0,0,0,0,120,0
11,182,0,0,62,0,0,0,0,0,0,0,120,0
12,244,0,0,124,0,0,0,0,0,0,0,120,0
13,152,0,0,62,0,0,0,0,0,0,0,90,0
14,338,0,0,155,90,0,0,0,0,0,93,0,0
15,184,0,0,0,60,0,0,0,0,0,124,0,0
16,184,0,0,0,60,0,0,0,0,0,124,0,0
17,212,0,0,0,60,0,0,0,0,90,62,0,0
18,275,0,0,0,60,93,0,0,0,60,62,0,0
19,366,0,0,0,60,62,0,0,0,120,124,0,0
20,367,0,0,0,60,62,90,0,0,0,155,0,0
21,182,0,0,0,0,62,60,0,0,60,0,0,0
22,242,0,0,0,60,62,60,0,0,60,0,0,0
23,211,0,0,0,60,0,60,31,0,60,0,0,0
24,549,0,0,0,150,62,60,124,93,60,0,0,0
25,308,0,0,0,0,62,0,62,124,60,0,0,0
26,334,0,0,0,0,0,60,62,62,150,0,0,0
27,184,0,0,0,0,62,60,62,0,0,0,0,0
28,124,0,0,0,0,62,0,0,62,0,0,0,0
29,308,0,0,0,0,124,60,62,62,0,0,0,0
30,153,0,0,0,0,31,60,62,0,0,0,0,0
31,212,0,0,0,0,0,150,0,62,0,0,0,0
32,124,0,0,0,0,0,0,62,62,0,0,0,0
33,124,0,0,0,0,0,0,62,62,0,0,0,0
34,310,0,0,0,0,0,0,155,155,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
