Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,31,31,0,0,0,0,0,0,0,0,0,0,31
11,270,186,84,0,0,0,0,0,0,0,0,0,186
12,174,62,112,0,0,0,0,0,0,0,0,0,62
13,273,62,56,0,0,0,0,0,0,0,0,0,62
14,304,124,56,0,0,0,0,0,0,0,0,0,124
15,267,62,112,31,0,0,0,0,0,0,0,0,62
16,578,186,56,124,0,0,0,0,0,0,0,150,186
17,455,31,56,124,0,0,0,0,0,0,0,120,31
18,386,0,140,62,0,0,0,0,0,0,0,60,0
19,215,0,0,62,0,0,0,0,0,0,0,60,0
20,182,0,0,62,0,0,0,0,0,0,0,120,0
21,212,0,0,62,90,0,0,0,0,0,0,60,0
22,549,0,0,124,120,0,0,0,0,0,155,150,0
23,277,0,0,93,60,0,0,0,0,0,124,0,0
24,122,0,0,0,60,0,0,0,0,0,62,0,0
25,277,0,0,0,60,155,0,0,0,0,62,0,0
26,274,0,0,0,60,62,0,0,0,90,62,0,0
27,456,0,0,0,60,62,90,0,0,120,124,0,0
28,457,0,0,0,60,62,120,0,0,60,155,0,0
29,640,0,0,0,150,62,60,93,155,120,0,0,0
30,368,0,0,0,0,62,60,124,62,60,0,0,0
31,368,0,0,0,0,62,60,62,124,60,0,0,0
32,428,0,0,0,0,124,60,62,62,120,0,0,0
33,367,0,0,0,0,93,60,62,62,90,0,0,0
34,184,0,0,0,0,0,60,62,62,0,0,0,0
35,336,0,0,0,0,0,150,62,124,0,0,0,0
36,217,0,0,0,0,0,0,124,93,0,0,0,0
37,93,0,0,0,0,0,0,93,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
