Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,93,93,0,0,0,0,0,0,0,0,0,0,93
11,487,186,84,0,0,0,0,0,0,0,0,0,186
12,360,124,112,0,0,0,0,0,0,0,0,0,124
13,450,124,112,0,0,0,0,0,0,0,0,90,124
14,517,217,56,0,0,0,0,0,0,0,0,120,217
15,542,0,112,155,0,0,0,0,0,0,0,120,0
16,356,0,112,124,0,0,0,0,0,0,0,120,0
17,266,0,84,62,0,0,0,0,0,0,0,120,0
18,335,0,0,62,30,0,0,0,0,0,93,150,0
19,306,0,0,62,120,0,0,0,0,0,124,0,0
20,215,0,0,62,60,31,0,0,0,0,62,0,0
21,525,0,0,217,60,124,0,0,0,0,124,0,0
22,334,0,0,0,60,62,0,0,0,150,62,0,0
23,244,0,0,0,60,62,0,0,0,60,62,0,0
24,306,0,0,0,60,62,0,0,0,60,124,0,0
25,485,0,0,0,120,62,150,0,0,60,93,0,0
26,335,0,0,0,60,62,60,93,0,60,0,0,0
27,427,0,0,0,90,62,60,62,93,60,0,0,0
28,492,0,0,0,0,124,60,124,124,60,0,0,0
29,335,0,0,0,0,93,60,0,62,120,0,0,0
30,274,0,0,0,0,0,60,62,62,90,0,0,0
31,122,0,0,0,0,0,60,62,0,0,0,0,0
32,184,0,0,0,0,0,60,62,62,0,0,0,0
33,184,0,0,0,0,0,60,62,62,0,0,0,0
34,214,0,0,0,0,0,90,62,62,0,0,0,0
35,279,0,0,0,0,0,0,155,124,0,0,0,0
36,93,0,0,0,0,0,0,0,93,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
