Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0
14,31,0,0,0,0,0,0,0,0,0,0,0,0
15,217,93,0,0,0,0,0,0,0,0,0,0,93
16,124,62,0,0,0,0,0,0,0,0,0,0,62
17,124,62,0,0,0,0,0,0,0,0,0,0,62
18,146,62,84,0,0,0,0,0,0,0,0,0,62
19,236,62,112,0,0,0,0,0,0,0,0,0,62
20,92,0,0,0,0,0,0,0,0,0,0,30,0
21,300,62,56,0,0,0,0,0,0,0,0,120,62
22,333,62,56,155,0,0,0,0,0,0,0,60,62
23,184,0,0,62,0,0,0,0,0,0,0,60,0
24,270,62,56,0,90,0,0,0,0,0,0,0,62
25,455,62,56,62,60,0,0,0,0,0,0,60,62
26,486,155,56,62,60,0,0,0,0,0,93,60,155
27,122,0,0,0,60,0,0,0,0,0,62,0,0
28,240,0,56,62,0,0,0,0,0,0,62,60,0
29,415,0,140,0,60,93,0,0,0,0,62,60,0
30,186,0,0,62,0,62,0,0,0,0,62,0,0
31,334,0,0,62,60,62,0,0,0,90,0,60,0
32,486,0,0,62,60,62,30,0,0,60,62,150,0
33,242,0,0,62,0,0,120,0,0,60,0,0,0
34,521,0,0,93,60,62,60,31,93,60,62,0,0
35,430,0,0,0,60,62,0,124,62,60,62,0,0
36,306,0,0,0,60,0,60,62,62,0,62,0,0
37,458,0,0,0,90,62,60,62,62,60,62,0,0
38,215,0,0,0,0,0,0,0,62,60,93,0,0
39,246,0,0,0,0,62,60,62,62,0,0,0,0
40,184,0,0,0,0,62,0,62,0,60,0,0,0
41,244,0,0,0,0,62,60,0,62,60,0,0,0
42,337,0,0,0,0,93,60,62,62,60,0,0,0
43,214,0,0,0,0,0,0,62,62,90,0,0,0
44,184,0,0,0,0,0,60,62,62,0,0,0,0
45,215,0,0,0,0,0,60,62,93,0,0,0,0
46,183,0,0,0,0,0,90,93,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
