Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0
12,155,0,0,0,0,0,0,0,0,0,0,0,0
13,217,155,0,0,0,0,0,0,0,0,0,0,155
14,124,62,0,0,0,0,0,0,0,0,0,0,62
15,208,62,84,0,0,0,0,0,0,0,0,0,62
16,180,62,56,0,0,0,0,0,0,0,0,0,62
17,423,62,56,93,0,0,0,0,0,0,0,150,62
18,364,62,56,124,0,0,0,0,0,0,0,60,62
19,240,62,56,0,0,0,0,0,0,0,0,60,62
20,516,62,56,62,90,0,0,0,0,0,31,60,62
21,457,155,56,62,60,0,0,0,0,0,124,0,155
22,331,0,56,62,60,31,0,0,0,0,62,60,0
23,455,0,56,62,60,124,0,0,31,0,62,60,0
24,901,0,140,0,60,62,150,155,124,150,0,60,0
25,550,0,0,62,60,62,60,62,62,60,62,60,0
26,368,0,0,124,0,0,0,0,62,0,62,120,0
27,427,0,0,93,60,62,60,62,0,60,0,30,0
28,428,0,0,0,60,62,60,62,62,60,62,0,0
29,308,0,0,0,60,62,0,62,62,0,62,0,0
30,242,0,0,0,60,0,60,0,0,60,62,0,0
31,458,0,0,0,90,62,60,62,62,60,62,0,0
32,279,0,0,0,0,62,0,62,62,0,93,0,0
33,337,0,0,0,0,155,60,0,62,60,0,0,0
34,244,0,0,0,0,0,60,62,62,60,0,0,0
35,518,0,0,0,0,0,150,155,93,120,0,0,0
36,30,0,0,0,0,0,0,0,0,30,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
