Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0
16,121,0,0,0,0,0,90,31,0,0,0,0,0
17,184,0,0,0,0,0,60,124,0,0,0,0,0
18,60,0,0,0,0,0,60,0,0,0,0,0,0
19,122,0,0,0,0,0,60,62,0,0,0,0,0
20,246,0,0,0,0,93,60,62,31,0,0,0,0
21,124,0,0,0,0,62,0,0,62,0,0,0,0
22,246,0,0,0,0,62,60,62,62,0,0,0,0
23,214,0,0,0,0,62,60,0,62,30,0,0,0
24,396,0,0,0,90,62,0,62,62,120,0,0,0
25,244,0,0,0,60,62,60,62,0,0,0,0,0
26,242,0,0,0,60,0,60,0,62,60,0,0,0
27,518,0,0,93,60,62,150,62,0,60,31,0,0
28,460,0,0,62,60,62,0,0,62,0,124,90,0
29,636,93,84,62,60,62,0,62,0,60,62,60,93
30,612,62,56,62,0,62,0,124,62,0,0,60,62
31,608,62,56,62,60,93,0,31,0,60,62,60,62
32,302,62,56,0,60,0,0,0,62,0,62,0,62
33,360,0,56,62,60,0,0,0,0,60,0,60,0
34,490,62,0,62,120,0,0,0,62,0,62,60,62
35,332,62,56,62,30,0,0,0,62,60,0,0,62
36,455,0,56,62,0,0,0,0,93,60,62,60,0
37,364,62,56,62,0,0,0,0,0,60,62,0,62
38,367,62,0,93,0,0,0,0,0,90,62,60,62
39,296,62,112,0,0,0,0,0,0,0,0,60,62
40,423,62,84,0,0,0,0,0,0,0,155,60,62
41,245,93,0,0,0,0,0,0,0,0,0,90,93
42,93,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
