Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
9,332,155,84,0,0,0,0,0,0,0,0,0,155
10,360,124,112,0,0,0,0,0,0,0,0,0,124
11,332,62,56,0,0,0,0,0,0,0,0,90,62
12,300,62,56,0,0,0,0,0,0,0,0,120,62
13,517,124,56,93,0,0,0,0,0,0,0,120,124
14,637,124,112,124,0,0,0,0,0,0,0,60,124
15,302,93,56,62,0,0,0,0,0,0,31,60,93
16,446,0,140,62,0,0,0,0,0,0,124,120,0
17,426,0,0,62,90,0,0,0,0,0,124,150,0
18,244,0,0,62,120,0,0,0,0,0,62,0,0
19,246,0,0,124,60,0,0,0,0,0,62,0,0
20,462,0,0,155,60,155,0,0,0,30,62,0,0
21,304,0,0,0,60,62,0,0,0,120,62,0,0
22,367,0,0,0,60,62,30,0,31,60,124,0,0
23,550,0,0,0,60,62,120,31,124,60,93,0,0
24,428,0,0,0,60,62,60,124,62,60,0,0,0
25,456,0,0,0,150,62,60,62,62,60,0,0,0
26,306,0,0,0,0,62,60,62,62,60,0,0,0
27,184,0,0,0,0,62,60,62,0,0,0,0,0
28,244,0,0,0,0,62,60,0,62,60,0,0,0
29,397,0,0,0,0,93,60,62,62,120,0,0,0
30,274,0,0,0,0,0,60,62,62,90,0,0,0
31,244,0,0,0,0,0,120,62,62,0,0,0,0
32,154,0,0,0,0,0,30,62,62,0,0,0,0
33,155,0,0,0,0,0,0,62,93,0,0,0,0
34,93,0,0,0,0,0,0,93,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
