Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,93,93,0,0,0,0,0,0,0,0,0,0,93
4,124,124,0,0,0,0,0,0,0,0,0,0,124
5,93,62,0,0,0,0,0,0,0,0,0,0,62
6,248,62,0,0,0,0,0,0,0,0,0,0,62
7,264,62,140,0,0,0,0,0,0,0,0,0,62
8,298,124,112,0,0,0,0,0,0,0,0,0,124
9,180,62,56,0,0,0,0,0,0,0,0,0,62
10,335,155,56,0,0,0,0,0,0,0,0,0,155
11,149,0,56,31,0,0,0,0,0,0,0,0,0
12,335,0,56,124,0,0,0,0,0,0,0,0,0
13,330,0,56,124,0,0,0,0,0,0,0,150,0
14,262,0,140,62,0,0,0,0,0,0,0,60,0
15,122,0,0,62,0,0,0,0,0,0,0,60,0
16,182,0,0,62,0,0,0,0,0,0,0,120,0
17,212,0,0,62,90,0,0,0,0,0,0,60,0
18,337,0,0,62,60,0,0,0,0,0,155,60,0
19,337,0,0,155,60,0,0,0,0,0,62,60,0
20,272,0,0,0,60,0,0,0,0,0,62,150,0
21,277,0,0,0,60,155,0,0,0,0,62,0,0
22,184,0,0,0,60,62,0,0,0,0,62,0,0
23,274,0,0,0,60,62,0,0,0,90,62,0,0
24,394,0,0,0,60,62,90,0,0,120,62,0,0
25,364,0,0,0,60,62,120,0,0,60,62,0,0
26,425,0,0,0,150,0,60,0,0,60,155,0,0
27,182,0,0,0,0,62,60,0,0,60,0,0,0
28,182,0,0,0,0,62,60,0,0,60,0,0,0
29,368,0,0,0,0,124,60,31,93,60,0,0,0
30,583,0,0,0,0,93,60,186,124,120,0,0,0
31,274,0,0,0,0,0,60,62,62,90,0,0,0
32,398,0,0,0,0,0,150,124,124,0,0,0,0
33,124,0,0,0,0,0,0,62,62,0,0,0,0
34,124,0,0,0,0,0,0,62,62,0,0,0,0
35,403,0,0,0,0,0,0,217,186,0,0,0,0
36,31,0,0,0,0,0,0,0,31,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
