Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,121,0,0,0,0,0,90,31,0,0,0,0,0
11,277,0,0,0,0,0,60,124,93,0,0,0,0
12,184,0,0,0,0,0,60,62,62,0,0,0,0
13,215,0,0,0,0,93,60,0,62,0,0,0,0
14,124,0,0,0,0,62,0,62,0,0,0,0,0
15,246,0,0,0,0,62,60,62,62,0,0,0,0
16,122,0,0,0,0,62,60,0,0,0,0,0,0
17,154,0,0,0,0,0,0,62,62,30,0,0,0
18,304,0,0,0,0,62,60,0,62,120,0,0,0
19,184,0,0,0,0,62,60,62,0,0,0,0,0
20,334,0,0,0,90,0,60,62,62,60,0,0,0
21,242,0,0,0,60,62,60,0,0,60,0,0,0
22,367,0,0,0,60,0,90,62,62,0,93,0,0
23,430,0,0,0,60,62,0,124,62,60,62,0,0
24,246,0,0,31,60,62,0,31,0,0,62,0,0
25,432,0,0,124,0,62,0,0,124,60,62,0,0
26,396,0,0,62,60,93,0,0,31,60,0,90,0
27,337,0,0,62,60,0,0,0,0,0,62,60,0
28,272,0,28,62,0,0,0,0,0,60,0,60,0
29,356,0,112,0,60,0,0,0,0,0,62,60,0
30,517,155,56,62,60,0,0,0,0,60,62,0,155
31,542,62,56,62,120,0,0,0,0,120,0,60,62
32,244,0,0,62,30,0,0,0,0,30,62,60,0
33,304,62,56,62,0,0,0,0,0,0,62,0,62
34,302,62,56,62,0,0,0,0,0,0,62,60,62
35,364,0,56,93,0,0,0,0,0,0,93,60,0
36,124,62,0,0,0,0,0,0,0,0,0,0,62
37,240,62,56,0,0,0,0,0,0,0,0,60,62
38,268,0,56,0,0,0,0,0,0,0,0,150,0
39,295,62,140,0,0,0,0,0,0,0,0,0,62
40,62,62,0,0,0,0,0,0,0,0,0,0,62
41,124,124,0,0,0,0,0,0,0,0,0,0,124
42,31,31,0,0,0,0,0,0,0,0,0,0,31
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
