Region,Country,Prov State,Station Name,Dry Bulb Temperature,Wet Bulb Temperature,Dew point,Humidity point %,Electricity price
,,,,,,,,
4,USA,TX,DALLAS LOVE FIELD,44.8,31.2,27.4,38.6,0.06
4,USA,IL,CHICAGO O'HARE,40.5,29.2,25.8,43.8,0.06
6,GBR,,LONDON STANSTED,35.9,24.3,19.6,38.6,0.63
6,DEU,,FRANKFURT AM MAIN,39.3,24.7,18.8,30.4,0.58
4,USA,VA,WASHINGTON DULLES,41.2,29.3,25.7,42,0.07
4,USA,VA,LESSBURG,40.1,29.4,26.2,45.9,0.07
4,USA,OH,COLUMBUS RICKENBACKER,44.8,32.2,28.9,42.1,0.07
4,CAN,ON,TORONTO BUTTONVILLE,39.3,28.7,25.4,45.7,0.04
5,AUS,,SYDNEY RICHMOND,47.7,30.2,24.9,28.7,0.38
4,USA,GA,ATLANTA HARTSFIELD-JACKSON,40.9,27.5,23,36.2,0.07
4,USA,VA,MANASSAS,39.5,29.1,26,46.7,0.07
6,FRA,,PARIS MONTSOURIS,41.8,26.4,20.8,30,0.19
6,NLD,,AMSTERDAM AP SCHIPHOL,36,24.9,20.6,40.8,0.37
4,USA,AZ,PHOENIX SKY HARBOR,49.4,27.9,20.1,19.7,0.07
2,JPN,,TOKYO,39.8,29.6,26.6,47.7,0.13
5,IDN,,JAKARTA OBSERVATORY,38.5,33.8,32.7,72.8,0.13
6,IRL,,DUBLIN AP,28.2,21.8,19,57.3,0.48
2,HKG,,HONG KONG INTL,37.9,30.2,28,57.5,0.14
4,USA,CA,LOS ANGELES USC,44.1,25.6,18.1,22.7,0.14
4,USA,CA,SAN JOSE INTL,42.1,25.8,19.5,27.4,0.14
4,USA,NY,NEW YORK LA GUARDIA,41,28.5,24.5,39.6,0.06
5,SGP,,SINGAPORE PAYA LEBAR,36.9,31.7,30.3,69.5,0.33
4,USA,WA,SEATTLE RENTON,39.4,27.7,24.9,51.8,0.05
3,BRA,,SAO PAULO CONGONHAS,36.8,27.7,24.8,50.3,0.15
4,CAN,QC,MONTREAL MCTAVISH,36.3,28.1,25.5,54.1,0.04
5,AUS,,MELBOURNE AP,46.8,26.5,18.6,20.4,0.23
4,USA,CO,DENVER INTL,40.3,21.1,10.4,16.6,0.08
3,ARG,,SANTIAGO DEL ESTERO,45.4,30.1,25.6,33.5,0.02
6,ITA,,MILANO LINATE,38.8,29.8,27.2,52.2,0.13
4,USA,FL,MIAMI EXECUTIVE,40,30.7,28.1,51.7,0.08
4,USA,TX,HOUSTON DUNN,46.1,28.5,22.7,27.1,0.06
2,IND,,MUMBAI SHIVAJI INTL,42.7,30.7,27.4,42.8,0.08
4,USA,MN,MINNEAPOLIS-ST PAUL,40,29.7,26.7,47.5,0.08
6,TUR,,ISTANBUL ATATURK,39,28.3,24.9,45.1,0.13
6,RUS,,MOSKOVA DOMODEDOVO,37.5,25.8,21.5,39.7,0.09
6,ESP,,MADRID TORREJON AB,41.9,26.3,20.4,29.5,0.21
6,CHE,,ZURICH AP,37.8,24.5,19.1,33.7,0.61
2,KOR,,SEOUL OBSERVATORY,38.9,29.5,26.8,50.5,0.20
