Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
9,93,93,0,0,0,0,0,0,0,0,0,0,93
10,124,124,0,0,0,0,0,0,0,0,0,0,124
11,62,62,0,0,0,0,0,0,0,0,0,0,62
12,202,62,140,0,0,0,0,0,0,0,0,0,62
13,273,62,56,0,0,0,0,0,0,0,0,0,62
14,335,124,56,31,0,0,0,0,0,0,0,0,124
15,422,62,112,186,0,0,0,0,0,0,0,0,62
16,335,155,56,62,0,0,0,0,0,0,0,0,155
17,330,0,56,62,0,0,0,0,0,0,0,150,0
18,452,0,56,62,90,0,0,0,0,0,0,120,0
19,537,0,140,62,120,0,0,0,0,0,0,60,0
20,182,0,0,62,60,0,0,0,0,0,0,60,0
21,304,0,0,124,60,0,0,0,0,0,0,120,0
22,213,0,0,93,60,0,0,0,0,0,0,60,0
23,458,0,0,0,60,155,0,0,0,0,93,150,0
24,308,0,0,0,60,124,0,0,0,0,124,0,0
25,244,0,0,0,120,62,0,0,0,0,62,0,0
26,426,0,0,0,90,62,150,0,0,0,124,0,0
27,184,0,0,0,0,62,60,0,0,0,62,0,0
28,456,0,0,0,0,62,120,0,0,150,124,0,0
29,552,0,0,0,0,186,60,31,0,120,155,0,0
30,492,0,0,0,0,31,60,186,155,60,0,0,0
31,426,0,0,0,0,0,120,62,124,120,0,0,0
32,396,0,0,0,0,0,150,124,62,60,0,0,0
33,244,0,0,0,0,0,0,62,62,120,0,0,0
34,338,0,0,0,0,0,0,124,124,90,0,0,0
35,217,0,0,0,0,0,0,155,62,0,0,0,0
36,155,0,0,0,0,0,0,0,155,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
