Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,28,0,28,0,0,0,0,0,0,0,0,0,0
4,267,155,112,0,0,0,0,0,0,0,0,0,155
5,118,62,56,0,0,0,0,0,0,0,0,0,62
6,149,62,56,0,0,0,0,0,0,0,0,0,62
7,304,62,56,0,0,0,0,0,0,0,0,0,62
8,180,62,56,0,0,0,0,0,0,0,0,0,62
9,242,124,56,0,0,0,0,0,0,0,0,0,124
10,298,62,112,0,0,0,0,0,0,0,0,0,62
11,423,155,56,0,0,0,0,0,0,0,0,150,155
12,421,0,84,93,0,0,0,0,0,0,0,120,0
13,215,0,0,62,0,0,0,0,0,0,0,60,0
14,184,0,0,124,0,0,0,0,0,0,0,60,0
15,150,0,0,0,90,0,0,0,0,0,0,60,0
16,273,0,0,62,120,0,0,0,0,0,31,60,0
17,306,0,0,62,60,0,0,0,0,0,124,60,0
18,274,0,0,62,0,0,0,0,0,0,62,150,0
19,184,0,0,62,60,0,0,0,0,0,62,0,0
20,339,0,0,124,60,93,0,0,0,0,62,0,0
21,339,0,0,93,60,124,0,0,0,0,62,0,0
22,334,0,0,0,60,62,0,0,0,150,62,0,0
23,303,0,0,0,60,0,90,0,31,60,62,0,0
24,521,0,0,0,60,62,60,93,124,60,62,0,0
25,551,0,0,0,90,62,60,62,62,60,155,0,0
26,184,0,0,0,0,0,60,62,62,0,0,0,0
27,306,0,0,0,0,62,60,62,62,60,0,0,0
28,306,0,0,0,0,62,60,62,62,60,0,0,0
29,184,0,0,0,0,62,0,62,0,60,0,0,0
30,337,0,0,0,0,155,60,0,62,60,0,0,0
31,244,0,0,0,0,0,60,62,62,60,0,0,0
32,274,0,0,0,0,0,60,62,62,90,0,0,0
33,246,0,0,0,0,0,60,62,124,0,0,0,0
34,276,0,0,0,0,0,90,155,31,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
