Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
11,93,93,0,0,0,0,0,0,0,0,0,0,93
12,357,124,140,0,0,0,0,0,0,0,0,0,124
13,332,62,56,0,0,0,0,0,0,0,0,90,62
14,240,62,56,0,0,0,0,0,0,0,0,60,62
15,271,0,56,93,0,0,0,0,0,0,0,60,0
16,246,62,0,62,0,0,0,0,0,0,0,60,62
17,240,62,56,62,0,0,0,0,0,0,0,60,62
18,335,62,56,62,0,0,0,0,0,0,93,0,62
19,516,124,56,62,90,0,0,0,0,0,62,60,124
20,455,93,56,0,60,0,0,0,0,0,62,60,93
21,486,0,56,62,60,93,0,0,0,0,62,60,0
22,268,0,84,62,60,62,0,0,0,0,0,0,0
23,394,0,0,0,60,62,0,0,0,90,62,120,0
24,426,0,0,62,0,62,90,0,0,60,62,90,0
25,397,0,0,62,60,62,60,0,93,60,0,0,0
26,492,0,0,155,0,0,60,93,62,60,62,0,0
27,490,0,0,0,60,62,60,124,62,60,62,0,0
28,428,0,0,0,60,62,60,62,62,60,62,0,0
29,184,0,0,0,60,0,0,0,62,0,62,0,0
30,459,0,0,0,60,62,60,62,62,60,93,0,0
31,334,0,0,0,90,62,60,62,0,60,0,0,0
32,337,0,0,0,0,155,60,0,62,60,0,0,0
33,244,0,0,0,0,0,60,62,62,60,0,0,0
34,274,0,0,0,0,0,60,62,62,90,0,0,0
35,214,0,0,0,0,0,90,62,62,0,0,0,0
36,217,0,0,0,0,0,0,124,93,0,0,0,0
37,31,0,0,0,0,0,0,31,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
