Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,152,93,28,0,0,0,0,0,0,0,0,0,93
8,422,124,112,0,0,0,0,0,0,0,0,0,124
9,360,124,112,0,0,0,0,0,0,0,0,0,124
10,180,62,56,0,0,0,0,0,0,0,0,0,62
11,609,124,56,155,0,0,0,0,0,0,0,150,124
12,486,124,56,62,0,0,0,0,0,0,0,120,124
13,364,93,56,62,0,0,0,0,0,0,0,60,93
14,361,0,56,62,90,0,0,0,0,0,93,60,0
15,382,0,140,0,60,0,0,0,0,0,62,120,0
16,366,0,0,62,60,0,0,0,0,0,124,120,0
17,274,0,0,62,60,0,0,0,0,0,62,90,0
18,427,0,0,62,60,93,0,0,0,150,62,0,0
19,308,0,0,62,0,124,0,0,0,60,62,0,0
20,337,0,0,155,60,0,0,0,0,60,62,0,0
21,244,0,0,0,60,62,0,0,0,60,62,0,0
22,367,0,0,0,60,62,90,0,0,0,155,0,0
23,366,0,0,0,0,62,120,93,31,60,0,0,0
24,428,0,0,0,120,0,0,124,124,60,0,0,0
25,334,0,0,0,90,62,60,0,62,60,0,0,0
26,306,0,0,0,0,62,60,62,62,60,0,0,0
27,366,0,0,0,0,62,60,62,62,120,0,0,0
28,216,0,0,0,0,124,0,62,0,30,0,0,0
29,153,0,0,0,0,31,60,0,62,0,0,0,0
30,184,0,0,0,0,0,60,62,62,0,0,0,0
31,184,0,0,0,0,0,60,62,62,0,0,0,0
32,122,0,0,0,0,0,60,62,0,0,0,0,0
33,276,0,0,0,0,0,90,62,124,0,0,0,0
34,186,0,0,0,0,0,0,93,93,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
