Flow Rate (GPM),Pipe size (inch),Header Size (inch),Pipe size (inch),Pipe size (inch)
50,2.5,3,2.5,2.5
100,3,4,3,3
200,4,5,4,4
300,5,6,6,6
400,5,6,6,6
500,6,8,6,6
600,6,8,6,6
700,8,10,6,8
800,8,10,6,8
900,8,10,8,8
1000,8,10,8,8
1100,8,10,8,8
1200,8,10,8,8
1300,8,10,8,10
1400,10,12,8,10
1500,10,12,8,10
1600,10,12,8,10
1700,10,12,8,10
1800,10,12,8,10
1900,10,12,10,10
2000,10,12,10,10
2100,10,12,10,10
2200,10,12,10,10
2300,10,12,10,10
2400,10,12,10,12
2500,12,14,10,12
2600,12,14,10,12
2700,12,14,10,12
2800,12,14,10,12
2900,12,14,10,12
3000,12,14,10,12
3100,12,14,12,12
3200,12,14,12,12
3300,12,14,12,12
3400,12,14,12,12
3500,12,14,12,12
3600,12,14,12,14
3700,12,14,12,14
3800,14,16,12,14
3900,14,16,12,14
4000,14,16,12,14
4100,14,16,12,14
4200,14,16,12,14
4300,14,16,12,14
4400,14,16,12,16
4500,14,16,12,16
4600,14,16,12,16
4700,14,16,12,16
4800,14,16,14,16
4900,14,16,14,16
5000,16,18,14,16
5100,16,18,14,16
5200,16,18,14,16
5300,16,18,14,16
5400,16,18,14,16
5500,16,18,14,16
5600,16,18,14,16
5700,16,18,14,16
5800,16,18,14,18
5900,16,18,14,18
6000,16,18,14,18
6100,16,18,16,18
6200,16,18,16,18
6300,16,18,16,18
6400,16,18,16,18
6500,16,18,16,18
6600,16,18,16,18
6700,16,18,16,18
6800,18,20,16,18
6900,18,20,16,18
7000,18,20,16,18
7100,18,20,16,18
7200,18,20,16,18
7300,18,20,16,20
7400,18,20,16,20
7500,18,20,16,20
7600,18,20,16,20
7700,18,20,16,20
7800,18,20,16,20
7900,18,20,16,20
8000,18,20,16,20
8100,18,20,18,20
8200,18,20,18,20
8300,18,20,18,20
8400,18,20,18,20
8500,18,20,18,20
8600,18,20,18,20
8700,18,20,18,20
8800,18,20,18,20
8900,18,20,18,20
9000,18,20,18,20
9100,20,24,18,24
9200,20,24,18,24
9300,20,24,18,24
9400,20,24,18,24
9500,20,24,18,24
9600,20,24,18,24
9700,20,24,18,24
9800,20,24,18,24
9900,20,24,18,24
10000,20,24,18,24
10100,20,24,20,24
10200,20,24,20,24
10300,20,24,20,24
10400,20,24,20,24
10500,20,24,20,24
10600,20,24,20,24
10700,20,24,20,24
10800,20,24,20,24
10900,20,24,20,24
11000,20,24,20,24
11100,20,24,20,24
11200,20,24,20,24
11300,20,24,20,24
11400,20,24,20,24
11500,20,24,20,24
11600,20,24,20,24
11700,20,24,20,24
11800,20,24,20,24
11900,20,24,20,24
12000,20,24,20,24
12100,20,24,24,24
12200,20,24,24,24
12300,20,24,24,24
12400,20,24,24,24
12500,20,24,24,24
12600,20,24,24,24
12700,20,24,24,24
12800,20,24,24,24
12900,20,24,24,24
13000,20,24,24,24
13100,20,24,24,24
13200,20,24,24,24
13300,20,24,24,26
13400,20,24,24,26
13500,20,24,24,26
13600,20,24,24,26
13700,20,24,24,26
13800,20,24,24,26
13900,20,24,24,26
14000,20,24,24,26
14100,20,24,24,26
14200,20,24,24,26
14300,20,24,24,26
14400,20,24,24,26
14500,20,24,24,26
14600,24,24,24,26
14700,24,24,24,26
14800,24,24,24,26
14900,24,24,24,26
15000,24,24,24,26
15100,24,24,24,26
15200,24,24,24,26
15300,24,24,24,26
15400,24,24,24,26
15500,24,24,24,26
15600,24,24,24,26
15700,24,24,24,28
15800,24,24,24,28
15900,24,24,24,28
16000,24,24,24,28
16100,24,24,24,28
16200,24,24,24,28
16300,24,24,24,28
16400,24,24,24,28
16500,24,24,24,28
16600,24,24,24,28
16700,24,24,24,28
16800,24,24,24,28
16900,24,24,24,28
17000,24,24,24,28
17100,24,24,24,28
17200,24,24,24,28
17300,24,24,24,28
17400,24,24,24,28
17500,24,24,24,28
17600,24,24,24,28
17700,24,24,24,28
17800,24,24,24,28
17900,24,24,24,28
18000,24,24,24,28
18100,24,24,,28
18200,24,24,,30
18300,24,24,,30
18400,24,24,,30
18500,24,24,,30
18600,24,24,,30
18700,24,24,,30
18800,24,24,,30
18900,24,24,,30
19000,24,24,,30
19100,24,24,,30
19200,24,24,,30
19300,24,24,,30
19400,24,24,,30
19500,24,24,,30
19600,24,24,,30
19700,24,24,,30
19800,24,24,,30
19900,24,24,,30
20000,24,24,,30
20100,24,24,,30
